,Algoritmo,Inicializacao na média,Dimensão,Desbalanceamento,Tamanho maior cluster,N,T0,kmax,Jmin,Jmin global,Tempo (em s)
101,SA,0.0,15,1:20,2000.0,1000000.0,0.1,12.0,15.784949721991712,14.85902714419568,2504.2837727069855
102,SA,1.0,15,1:10,2000.0,1000000.0,0.1,12.0,15.054484920861425,14.77115005636191,2634.044687986374
103,SA,1.0,15,1:20,2000.0,1000000.0,0.1,12.0,15.134274550844305,14.85902714419568,2483.3600599765778
104,SA,0.0,15,1:10,2000.0,100000.0,0.1,16.0,16.2361414825501,14.77115005636191,349.5240592956543
105,SA,0.0,15,1:20,2000.0,100000.0,0.1,16.0,15.762229144490254,14.85902714419568,339.048574924469
106,SA,1.0,15,1:10,2000.0,100000.0,0.1,16.0,15.05158757878316,14.77115005636191,350.6271319389343
107,SA,1.0,15,1:20,2000.0,100000.0,0.1,16.0,15.21365948584995,14.85902714419568,340.6518132686615
108,SA,0.0,15,1:10,2000.0,1000000.0,0.1,16.0,16.41221621990104,14.77115005636191,3484.7741026878357
109,SA,0.0,15,1:20,2000.0,1000000.0,0.1,16.0,15.766725637086122,14.85902714419568,3285.8621644973755
110,SA,1.0,15,1:10,2000.0,1000000.0,0.1,16.0,15.035661094250347,14.77115005636191,3493.5245010852814
111,SA,1.0,15,1:20,2000.0,1000000.0,0.1,16.0,15.110602945736009,14.85902714419568,3272.5694036483765
112,SA,0.0,20,1:10,2000.0,100000.0,0.1,12.0,21.82016254966601,19.60304960698555,340.87892055511475
113,SA,0.0,20,1:20,2000.0,100000.0,0.1,12.0,21.066826116620934,19.758496031901153,335.74011492729187
114,SA,1.0,20,1:10,2000.0,100000.0,0.1,12.0,20.27859848012837,19.60304960698555,340.42775535583496
115,SA,1.0,20,1:20,2000.0,100000.0,0.1,12.0,20.351370959778087,19.758496031901153,337.116215467453
116,SA,0.0,20,1:10,2000.0,1000000.0,0.1,12.0,21.75910038174664,19.60304960698555,3300.5992929935455
